user_content,expected_name,expected_args,pred_name,pred_args,json_valid,raw_output
Ekip kanalına yaz,ask_clarification,"{""missing_field"": ""recipient_and_message"", ""question"": ""Hangi kanala ve ne yazmamı istiyorsunuz?""}",ask_clarification,"{""missing_field"": ""content"", ""question"": ""Ekip kanalına ne yazmamı istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""content"",""question"":""Ekip kanalına ne yazmamı istiyorsunuz?""}}"
Babam'a sabh erkenden çıkıcam yaz,send_message,"{""app"": ""sms"", ""message"": ""Sabah erkenden çıkacağım."", ""recipient"": ""Babam""}",send_message,"{""app"": ""sms"", ""message"": ""Sabah erkenden çıkım."", ""recipient"": ""Babam""}",True,"{""name"":""send_message"",""arguments"":{""recipient"":""Babam"",""message"":""Sabah erkenden çıkım."",""app"":""sms""}}"
On kırkta beni kaldır,set_alarm,"{""date"": ""today_or_next_occurrence"", ""label"": null, ""time"": ""10:40""}",set_alarm,"{""date"": ""today_or_next_occurrence"", ""label"": null, ""time"": ""15:40""}",True,"{""name"":""set_alarm"",""arguments"":{""time"":""15:40"",""date"":""today_or_next_occurrence"",""label"":null}}"
Davet e-postası gönder,ask_clarification,"{""missing_field"": ""recipient_and_message"", ""question"": ""Davet e-postasını kime ve ne içerikle göndereyim?""}",ask_clarification,"{""missing_field"": ""recipient_and_message"", ""question"": ""Davet e-postasını kime ve ne olarak göndereyim?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""recipient_and_message"",""question"":""Davet e-postasını kime ve ne olarak göndereyim?""}}"
Gece yirmi üçe alarm,set_alarm,"{""date"": ""today_or_next_occurrence"", ""label"": null, ""time"": ""23:00""}",set_alarm,"{""date"": ""today_or_next_occurrence"", ""label"": null, ""time"": ""20:30""}",True,"{""name"":""set_alarm"",""arguments"":{""time"":""20:30"",""date"":""today_or_next_occurrence"",""label"":null}}"
Hatırlatma yap bana akşam,ask_clarification,"{""missing_field"": ""text"", ""question"": ""Akşam size ne hakkında hatırlatma yapmamı istersiniz?""}",ask_clarification,"{""missing_field"": ""text"", ""question"": ""Akşam için neyi hatırlatmamı istersiniz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""text"",""question"":""Akşam için neyi hatırlatmamı istersiniz?""}}"
Baş ağrısına ne iyi gelir,search_web,"{""query"": ""Baş ağrısına doğal çözümler""}",search_web,"{""query"": ""Baş ağrısı kliniği ve yemekleri""}",True,"{""name"":""search_web"",""arguments"":{""query"":""Baş ağrısı kliniği ve yemekleri""}}"
Murat'a mesaj gönderir misin,ask_clarification,"{""missing_field"": ""message"", ""question"": ""Hangi mesajı göndermemi istiyorsunuz?""}",ask_clarification,"{""missing_field"": ""message"", ""question"": ""Murat'a hangi mesajı göndereyim?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""message"",""question"":""Murat'a hangi mesajı göndereyim?""}}"
Güven'e whatsapp'tan konser iptal mi sor,send_message,"{""app"": ""whatsapp"", ""message"": ""Konser iptal mi?"", ""recipient"": ""Güven""}",send_message,"{""app"": ""whatsapp"", ""message"": ""Konser iptal mı?"", ""recipient"": ""Güven""}",True,"{""name"":""send_message"",""arguments"":{""recipient"":""Güven"",""message"":""Konser iptal mı?"",""app"":""whatsapp""}}"
sabah 9 alarmını aç,set_alarm,"{""date"": ""tomorrow"", ""label"": ""namaz"", ""time"": ""09:00""}",set_alarm,"{""date"": ""tomorrow"", ""label"": ""spor"", ""time"": ""09:00""}",True,"{""name"":""set_alarm"",""arguments"":{""time"":""09:00"",""date"":""tomorrow"",""label"":""spor""}}"
Son cevapsız aramayı geri ara,ask_clarification,"{""missing_field"": ""recipient"", ""question"": ""Hangi cevapsız aramayı geri arayayım?""}",search_web,"{""query"": ""son cevapsız arama listesi""}",True,"{""name"":""search_web"",""arguments"":{""query"":""son cevapsız arama listesi""}}"
En yakın AVM'ye götür,start_navigation,"{""destination"": ""En yakın AVM"", ""mode"": ""driving""}",start_navigation,"{""destination"": ""AVM"", ""mode"": ""driving""}",True,"{""name"":""start_navigation"",""arguments"":{""destination"":""AVM"",""mode"":""driving""}}"
Panoya metin ekle,ask_clarification,"{""missing_field"": ""text"", ""question"": ""Panoya hangi metni ekleyeyim?""}",ask_clarification,"{""missing_field"": ""date"", ""question"": ""Metni hangi tarihte ekleyeyim?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""date"",""question"":""Metni hangi tarihte ekleyeyim?""}}"
onu başlat,ask_clarification,"{""missing_field"": ""app_name"", ""question"": ""Hangi uygulamayı açmamı istiyorsunuz?""}",open_app,"{""app_name"": ""On""}",True,"{""name"":""open_app"",""arguments"":{""app_name"":""On""}}"
bana twiter aç,open_app,"{""app_name"": ""X""}",open_app,"{""app_name"": ""Twitter""}",True,"{""name"":""open_app"",""arguments"":{""app_name"":""Twitter""}}"
Wimbledon tenis turnuvası ne zaman başlıyor,search_web,"{""query"": ""Wimbledon tenis turnuvası başlangıç tarihi""}",search_web,"{""query"": ""Wimbledon tenis turnuvası tarihi""}",True,"{""name"":""search_web"",""arguments"":{""query"":""Wimbledon tenis turnuvası tarihi""}}"
Geri sayım kur,ask_clarification,"{""missing_field"": ""duration_minutes"", ""question"": ""Geri sayım için dakika belirtir misiniz?""}",ask_clarification,"{""missing_field"": ""duration_minutes"", ""question"": ""Zamanlayıcıyı ne kadar süre için kurmamı istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""duration_minutes"",""question"":""Zamanlayıcıyı ne kadar süre için kurmamı istiyorsunuz?""}}"
İşe navigasyon aç,ask_clarification,"{""missing_field"": ""destination"", ""question"": ""Hangi iş adresine navigasyon açayım?""}",ask_clarification,"{""missing_field"": ""destination"", ""question"": ""Hangi İş için navigasyon açayım?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""destination"",""question"":""Hangi İş için navigasyon açayım?""}}"
pazar günü şey yap,ask_clarification,"{""missing_field"": ""text"", ""question"": ""Pazar günü ne yapmamı veya size neyi hatırlatmamı istersiniz?""}",ask_clarification,"{""missing_field"": ""text"", ""question"": ""Pazar günü neyi hatırlatmamı istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""text"",""question"":""Pazar günü neyi hatırlatmamı istiyorsunuz?""}}"
Elif'e mesaj gönder: Toplantı 3'te.,send_message,"{""app"": ""whatsapp"", ""message"": ""Toplantı 3'te."", ""recipient"": ""Elif""}",send_message,"{""app"": ""sms"", ""message"": ""Toplantı 3'te."", ""recipient"": ""Elif""}",True,"{""name"":""send_message"",""arguments"":{""recipient"":""Elif"",""message"":""Toplantı 3'te."",""app"":""sms""}}"
Bulut dosyalarım için Drive'ı aç,open_app,"{""app_name"": ""Google Drive""}",open_app,"{""app_name"": ""Drive""}",True,"{""name"":""open_app"",""arguments"":{""app_name"":""Drive""}}"
Kargocuyu bağla,call_contact,"{""recipient"": ""Kargocu""}",call_contact,"{""recipient"": ""Kargocuy""}",True,"{""name"":""call_contact"",""arguments"":{""recipient"":""Kargocuy""}}"
En popüler parfüm erkek,search_web,"{""query"": ""En çok tercih edilen erkek parfümleri""}",search_web,"{""query"": ""En popüler parfümları kadın""}",True,"{""name"":""search_web"",""arguments"":{""query"":""En popüler parfümları kadın""}}"
Faruk'a sms yaz şu an yoğunum sonra ararım,send_message,"{""app"": ""sms"", ""message"": ""Şu an yoğunum, sonra ararım."", ""recipient"": ""Faruk""}",send_message,"{""app"": ""sms"", ""message"": ""Şu an yoğunum sonra ararım."", ""recipient"": ""Faruk""}",True,"{""name"":""send_message"",""arguments"":{""recipient"":""Faruk"",""message"":""Şu an yoğunum sonra ararım."",""app"":""sms""}}"
Behice'ye sms at gece bekle,send_message,"{""app"": ""sms"", ""message"": ""Gece bekle."", ""recipient"": ""Behice""}",send_message,"{""app"": ""sms"", ""message"": ""Gece bekle."", ""recipient"": ""Behace""}",True,"{""name"":""send_message"",""arguments"":{""recipient"":""Behace"",""message"":""Gece bekle."",""app"":""sms""}}"
Beni kaldır,ask_clarification,"{""missing_field"": ""time"", ""question"": ""Alarmı saat kaça kurmamı istiyorsunuz?""}",ask_clarification,"{""missing_field"": ""action"", ""question"": ""Neyi kaldırmamı istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""action"",""question"":""Neyi kaldırmamı istiyorsunuz?""}}"
Etkinlik oluştur,ask_clarification,"{""missing_field"": ""title"", ""question"": ""Takvime eklenecek etkinliğin başlığı ne olsun?""}",ask_clarification,"{""missing_field"": ""title"", ""question"": ""Teknoloğunun başlığı ne olsun?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""title"",""question"":""Teknoloğunun başlığı ne olsun?""}}"
Gülnaz'a whatsapp'tan annemin doğum günü ne zaman sor,send_message,"{""app"": ""whatsapp"", ""message"": ""Annemin doğum günü ne zaman?"", ""recipient"": ""Gülnaz""}",send_message,"{""app"": ""whatsapp"", ""message"": ""Annemi doğum günü ne zaman?"", ""recipient"": ""Gülnaz""}",True,"{""name"":""send_message"",""arguments"":{""recipient"":""Gülnaz"",""message"":""Annemi doğum günü ne zaman?"",""app"":""whatsapp""}}"
Antalya haftalık hava durumuna bak,search_web,"{""query"": ""Antalya haftalık hava durumuna bak""}",search_web,"{""query"": ""Antalya haftalık hava durumu""}",True,"{""name"":""search_web"",""arguments"":{""query"":""Antalya haftalık hava durumu""}}"
Galerideki her şeyi sil,request_confirmation,"{""action"": ""galeriyi tamamen sil"", ""question"": ""Galerinizdeki tüm medya dosyalarını silmek üzeresiniz. Emin misiniz?""}",request_confirmation,"{""action"": ""galeriden tüm yerleri sil"", ""question"": ""Galerinizdeki her şeyi kalıcı olarak silinecek. Devam etmek istiyor musunuz?""}",True,"{""name"":""request_confirmation"",""arguments"":{""action"":""galeriden tüm yerleri sil"",""question"":""Galerinizdeki her şeyi kalıcı olarak silinecek. Devam etmek istiyor musunuz?""}}"
Ekranda siyah leke var neden,search_web,"{""query"": ""Telefon ekranında siyah leke ölü piksel çözümü""}",search_web,"{""query"": ""siyah lekeleri kapat ve aç""}",True,"{""name"":""search_web"",""arguments"":{""query"":""siyah lekeleri kapat ve aç""}}"
Saat ayarını aç,ask_clarification,"{""missing_field"": ""setting"", ""question"": ""Hangi saat ayarını açmamı istiyorsunuz?""}",open_app,"{""app_name"": ""Saat""}",True,"{""name"":""open_app"",""arguments"":{""app_name"":""Saat""}}"
Komşuyu ara,call_contact,"{""recipient"": ""Komşu""}",ask_clarification,"{""missing_field"": ""recipient"", ""question"": ""Hangi kişiyi aramamı istersiniz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""recipient"",""question"":""Hangi kişiyi aramamı istersiniz?""}}"
Yeliz'e whatsapp'tan güle güle geçmiş olsun yaz,send_message,"{""app"": ""whatsapp"", ""message"": ""Güle güle, geçmiş olsun!"", ""recipient"": ""Yeliz""}",send_message,"{""app"": ""whatsapp"", ""message"": ""Güle güle geçmiş olsun!"", ""recipient"": ""Yeliz""}",True,"{""name"":""send_message"",""arguments"":{""recipient"":""Yeliz"",""message"":""Güle güle geçmiş olsun!"",""app"":""whatsapp""}}"
Mücver malzemeleri nelerdir,search_web,"{""query"": ""Mücver malzemeleri""}",search_web,"{""query"": ""Müchner malzemeleri""}",True,"{""name"":""search_web"",""arguments"":{""query"":""Müchner malzemeleri""}}"
Postaneye yaya rota oluştur,start_navigation,"{""destination"": ""Postane"", ""mode"": ""walking""}",start_navigation,"{""destination"": ""Posta"", ""mode"": ""walking""}",True,"{""name"":""start_navigation"",""arguments"":{""destination"":""Posta"",""mode"":""walking""}}"
gece 10 buçuk olunca arabayı yıka diye uyar,create_reminder,"{""date"": ""friday"", ""text"": ""arabayı yıka"", ""time"": ""22:30""}",create_reminder,"{""date"": ""monday"", ""text"": ""arabayı yıka"", ""time"": ""22:30""}",True,"{""name"":""create_reminder"",""arguments"":{""text"":""arabayı yıka"",""date"":""monday"",""time"":""22:30""}}"
Yeni nota kan tahlili randevusu alınacak yaz,create_note,"{""content"": ""kan tahlili randevusu alınacak"", ""title"": ""Alışveriş listesi""}",create_note,"{""content"": ""kan tahlili randevusu alınacak"", ""title"": ""Kardeşim numarasını""}",True,"{""name"":""create_note"",""arguments"":{""title"":""Kardeşim numarasını"",""content"":""kan tahlili randevusu alınacak""}}"
Çalışma süresi için 2 saat zamanlayıcı ayarla,set_timer,"{""duration_minutes"": 120, ""label"": ""çalışma""}",set_timer,"{""duration_minutes"": 120, ""label"": ""çalışma süresi""}",True,"{""name"":""set_timer"",""arguments"":{""duration_minutes"":120,""label"":""çalışma süresi""}}"
çalıştır,ask_clarification,"{""missing_field"": ""setting"", ""question"": ""Hangi telefon ayarını değiştirmemi istiyorsunuz?""}",ask_clarification,"{""missing_field"": ""app_name"", ""question"": ""Hangi uygulamayı açmamı istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""app_name"",""question"":""Hangi uygulamayı açmamı istiyorsunuz?""}}"
Eve navigasyon başlat,start_navigation,"{""destination"": ""Ev"", ""mode"": ""driving""}",ask_clarification,"{""missing_field"": ""destination"", ""question"": ""Nereye navigasyon başlatmamı istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""destination"",""question"":""Nereye navigasyon başlatmamı istiyorsunuz?""}}"
Hatırlatıcı kurar mısın,ask_clarification,"{""missing_field"": ""text"", ""question"": ""Hatırlatıcıyı ne için kurmamı istersiniz?""}",ask_clarification,"{""missing_field"": ""task"", ""question"": ""Size neyi hatırlatmamı istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""task"",""question"":""Size neyi hatırlatmamı istiyorsunuz?""}}"
"Artık ulaşılabilir olayım, modu kapat",change_device_setting,"{""setting"": ""do_not_disturb"", ""value"": ""off""}",change_device_setting,"{""setting"": ""location"", ""value"": ""off""}",True,"{""name"":""change_device_setting"",""arguments"":{""setting"":""location"",""value"":""off""}}"
Sağlık notu: vitamin hapları sabah tok karnına içilecek,create_note,"{""content"": ""vitamin hapları sabah tok karnına içilecek"", ""title"": ""Sağlık notu""}",create_note,"{""content"": ""vitamin hapları sabah tok karnına içilecek"", ""title"": ""Sağlık""}",True,"{""name"":""create_note"",""arguments"":{""title"":""Sağlık"",""content"":""vitamin hapları sabah tok karnına içilecek""}}"
Trendyol uygulamasını kaldır,request_confirmation,"{""action"": ""Trendyol uygulamasını kaldır"", ""question"": ""Trendyol uygulamasını silmek istediğinizden emin misiniz?""}",request_confirmation,"{""action"": ""Trendyol uygulamasını kaldır"", ""question"": ""Trendyol uygulamanızdan çıkılacak tüm içerikler ve ayarlar silinecek. Devam etmek istiyor musunuz?""}",True,"{""name"":""request_confirmation"",""arguments"":{""action"":""Trendyol uygulamasını kaldır"",""question"":""Trendyol uygulamanızdan çıkılacak tüm içerikler ve ayarlar silinecek. Devam etmek istiyor musunuz?""}}"
Bana şeyi hatırlat ya,ask_clarification,"{""missing_field"": ""text"", ""question"": ""Size neyi hatırlatmamı istersiniz?""}",ask_clarification,"{""missing_field"": ""text"", ""question"": ""Neyi hatırlatmamı istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""text"",""question"":""Neyi hatırlatmamı istiyorsunuz?""}}"
Sunum oluştur,ask_clarification,"{""missing_field"": ""title"", ""question"": ""Sunumun başlığı ne olsun?""}",ask_clarification,"{""missing_field"": ""title"", ""question"": ""Sunum başlığı ne olsun?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""title"",""question"":""Sunum başlığı ne olsun?""}}"
Kolay Zeytinyağlı sarma nasıl yapılır ara,search_web,"{""query"": ""Kolay Zeytinyağlı sarma nasıl yapılır""}",search_web,"{""query"": ""Kolay Zeytiny Baghdışlı sarma nasıl yapılır""}",True,"{""name"":""search_web"",""arguments"":{""query"":""Kolay Zeytiny Baghdışlı sarma nasıl yapılır""}}"
bugün istanbulda yağmur var mı,search_web,"{""query"": ""İstanbul bugün hava durumu""}",search_web,"{""query"": ""İstanbul saat sabah 7 buçuk yağmur var mı""}",True,"{""name"":""search_web"",""arguments"":{""query"":""İstanbul saat sabah 7 buçuk yağmur var mı""}}"
Tüm fotoğrafları kalıcı olarak sil,request_confirmation,"{""action"": ""fotoğrafları kalıcı sil"", ""question"": ""Fotoğrafları kalıcı olarak silerseniz hiçbir şekilde kurtaramazsınız. Emin misiniz?""}",request_confirmation,"{""action"": ""tüm fotoğrafları sil"", ""question"": ""Cihazdaki tüm fotoğraflar kalıcı olarak silinecek. Devam etmek istiyor musunuz?""}",True,"{""name"":""request_confirmation"",""arguments"":{""action"":""tüm fotoğrafları sil"",""question"":""Cihazdaki tüm fotoğraflar kalıcı olarak silinecek. Devam etmek istiyor musunuz?""}}"
Kızı okuldan al saat 3 buçukta,create_reminder,"{""date"": null, ""text"": ""kızını okuldan al"", ""time"": ""15:30""}",set_alarm,"{""date"": ""today_or_next_occurrence"", ""label"": ""okul"", ""time"": ""15:30""}",True,"{""name"":""set_alarm"",""arguments"":{""time"":""15:30"",""date"":""today_or_next_occurrence"",""label"":""okul""}}"
Seçili fotoğrafları çöpe at,request_confirmation,"{""action"": ""seçili fotoğrafları sil"", ""question"": ""Seçtiğiniz fotoğrafları çöp kutusuna taşımak istediğinizden emin misiniz?""}",request_confirmation,"{""action"": ""seçilen fotoğrafları çöpleştirmek istiyor musun?"", ""question"": ""Tüm seçilen fotoğraflarınız çöpü çıkarılacak ve geri alılacaktır. Emin misiniz?""}",True,"{""name"":""request_confirmation"",""arguments"":{""action"":""seçilen fotoğrafları çöpleştirmek istiyor musun?"",""question"":""Tüm seçilen fotoğraflarınız çöpü çıkarılacak ve geri alılacaktır. Emin misiniz?""}}"
Bir şeyler dinlet,ask_clarification,"{""missing_field"": ""song"", ""question"": ""Hangi şarkıyı veya sanatçıyı çalmamı istiyorsunuz?""}",ask_clarification,"{""missing_field"": ""query"", ""question"": ""Ne aramamı istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""query"",""question"":""Ne aramamı istiyorsunuz?""}}"
Altı kırk beşe alarm,set_alarm,"{""date"": ""today_or_next_occurrence"", ""label"": null, ""time"": ""06:45""}",set_alarm,"{""date"": ""today_or_next_occurrence"", ""label"": null, ""time"": ""06:30""}",True,"{""name"":""set_alarm"",""arguments"":{""time"":""06:30"",""date"":""today_or_next_occurrence"",""label"":null}}"
Eray'a whatsapp at konferansı kaçırma,send_message,"{""app"": ""whatsapp"", ""message"": ""Konferansı kaçırma."", ""recipient"": ""Eray""}",send_message,"{""app"": ""whatsapp"", ""message"": ""Konferansı kaçırma?"", ""recipient"": ""Eray""}",True,"{""name"":""send_message"",""arguments"":{""recipient"":""Eray"",""message"":""Konferansı kaçırma?"",""app"":""whatsapp""}}"
Misafir listesi yap,ask_clarification,"{""missing_field"": ""content"", ""question"": ""Misafir listesine kimleri ekleyeyim?""}",ask_clarification,"{""missing_field"": ""content"", ""question"": ""Misafir listesine neler yazayım?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""content"",""question"":""Misafir listesine neler yazayım?""}}"
A101 Kapıda uygulamasını başlat,open_app,"{""app_name"": ""A101 Kapıda""}",open_app,"{""app_name"": ""Uygulamalar""}",True,"{""name"":""open_app"",""arguments"":{""app_name"":""Uygulamalar""}}"
Reşat'a sms yaz sigortayı yeniledim,send_message,"{""app"": ""sms"", ""message"": ""Sigortayı yeniledim."", ""recipient"": ""Reşat""}",send_message,"{""app"": ""sms"", ""message"": ""Sigortayı yenilemedim."", ""recipient"": ""Reşat""}",True,"{""name"":""send_message"",""arguments"":{""recipient"":""Reşat"",""message"":""Sigortayı yenilemedim."",""app"":""sms""}}"
Mehmet'i engelle,request_confirmation,"{""action"": ""Mehmet'i engelle"", ""question"": ""Mehmet'i engellerseniz size bir daha ulaşamayacaktır. Devam etmek istiyor musunuz?""}",request_confirmation,"{""action"": ""Mehmet'e mesaj at"", ""question"": ""Mehmet ile ilgili tüm mesajlar silinecek. Onaylıyor musunuz?""}",True,"{""name"":""request_confirmation"",""arguments"":{""action"":""Mehmet'e mesaj at"",""question"":""Mehmet ile ilgili tüm mesajlar silinecek. Onaylıyor musunuz?""}}"
Kamera albümünü temizle,request_confirmation,"{""action"": ""kamera albümünü temizle"", ""question"": ""Kamera albümündeki her şey silinmek üzere. Emin misiniz?""}",request_confirmation,"{""action"": ""kamera albümü sil"", ""question"": ""Kamera albmeyen yeriniz temizlenecek. Devam edilsin mi?""}",True,"{""name"":""request_confirmation"",""arguments"":{""action"":""kamera albümü sil"",""question"":""Kamera albmeyen yeriniz temizlenecek. Devam edilsin mi?""}}"
Bütçe tablosu oluştur,ask_clarification,"{""missing_field"": ""title"", ""question"": ""Bütçe tablosunun adı ne olsun?""}",ask_clarification,"{""missing_field"": ""content"", ""question"": ""Bu tablosunuzu hangi içerikle kullanayım?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""content"",""question"":""Bu tablosunuzu hangi içerikle kullanayım?""}}"
Konum servislerini tamamen kapat,request_confirmation,"{""action"": ""konum servislerini kapat"", ""question"": ""Konum servislerini kapatırsanız navigasyon ve harita uygulamaları çalışmayacaktır. Emin misiniz?""}",change_device_setting,"{""setting"": ""location"", ""value"": ""off""}",True,"{""name"":""change_device_setting"",""arguments"":{""setting"":""location"",""value"":""off""}}"
Lütfen bana bir şey hatırlat,ask_clarification,"{""missing_field"": ""text"", ""question"": ""Size neyi hatırlatmamı istersiniz?""}",ask_clarification,"{""missing_field"": ""task"", ""question"": ""Size neyi hatırlatmamı istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""task"",""question"":""Size neyi hatırlatmamı istiyorsunuz?""}}"
katlanır bisiklet fiyat performans incelemesi ara,search_web,"{""query"": ""katlanır bisiklet fiyat performans incelemesi""}",search_web,"{""query"": ""Katlanıra bisiklet fiyatı performans incelemesi""}",True,"{""name"":""search_web"",""arguments"":{""query"":""Katlanıra bisiklet fiyatı performans incelemesi""}}"
lütfen birini aç,ask_clarification,"{""missing_field"": ""app_name"", ""question"": ""Hangi uygulamayı açmamı istiyorsunuz?""}",ask_clarification,"{""missing_field"": ""recipient"", ""question"": ""Kimi aramamı istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""recipient"",""question"":""Kimi aramamı istiyorsunuz?""}}"
Not: takım elbisemi kuru temizlemeye vereceğim,create_note,"{""content"": ""takım elbisemi kuru temizlemeye vereceğim"", ""title"": null}",create_note,"{""content"": ""tasnik elbissemi kuru temizlemeye vereceğim"", ""title"": null}",True,"{""name"":""create_note"",""arguments"":{""title"":null,""content"":""tasnik elbissemi kuru temizlemeye vereceğim""}}"
Perşembe saat dokuz alarmı,set_alarm,"{""date"": ""thursday"", ""label"": null, ""time"": ""09:00""}",set_alarm,"{""date"": ""thursday"", ""label"": null, ""time"": ""09:30""}",True,"{""name"":""set_alarm"",""arguments"":{""time"":""09:30"",""date"":""thursday"",""label"":null}}"
ilaç için sabah 9 alarmı kur,set_alarm,"{""date"": ""today"", ""label"": ""ilaç"", ""time"": ""09:00""}",set_alarm,"{""date"": ""tomorrow"", ""label"": ""ilaç"", ""time"": ""09:00""}",True,"{""name"":""set_alarm"",""arguments"":{""time"":""09:00"",""date"":""tomorrow"",""label"":""ilaç""}}"
Mihri'ye whatsapp'tan yurtdışı görev onaylandı yaz,send_message,"{""app"": ""whatsapp"", ""message"": ""Yurt dışı görev onaylandı."", ""recipient"": ""Mihri""}",send_message,"{""app"": ""whatsapp"", ""message"": ""Yurtdışı görev onaylandı."", ""recipient"": ""Mihri""}",True,"{""name"":""send_message"",""arguments"":{""recipient"":""Mihri"",""message"":""Yurtdışı görev onaylandı."",""app"":""whatsapp""}}"
Kıyamet kadar mesaj atma,ask_clarification,"{""missing_field"": ""recipient_and_message"", ""question"": ""Mesajı kime ve ne olarak göndermemi istiyorsunuz?""}",ask_clarification,"{""missing_field"": ""recipient_and_message"", ""question"": ""Kıyamet ile ne mesaj atayım?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""recipient_and_message"",""question"":""Kıyamet ile ne mesaj atayım?""}}"
Antrenman 90 dakika,set_timer,"{""duration_minutes"": 90, ""label"": ""Antrenman""}",set_timer,"{""duration_minutes"": 90, ""label"": ""antrenman""}",True,"{""name"":""set_timer"",""arguments"":{""duration_minutes"":90,""label"":""antrenman""}}"
React vs Vue karşılaştırması,search_web,"{""query"": ""React ve Vue karşılaştırması""}",search_web,"{""query"": ""React vs Vue karşılaştırması""}",True,"{""name"":""search_web"",""arguments"":{""query"":""React vs Vue karşılaştırması""}}"
duraga nasl gdilir yaya,start_navigation,"{""destination"": ""Durak"", ""mode"": ""walking""}",search_web,"{""query"": ""Yemeksepeti uygulamasını aç ve duruma gözden geçir""}",True,"{""name"":""search_web"",""arguments"":{""query"":""Yemeksepeti uygulamasını aç ve duruma gözden geçir""}}"
siyah mod,ask_clarification,"{""missing_field"": ""value"", ""question"": ""Karanlık modu açmamı mı kapatmamı mı istiyorsunuz?""}",ask_clarification,"{""missing_field"": ""value"", ""question"": ""Açmamı mı kapatmamı mı istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""value"",""question"":""Açmamı mı kapatmamı mı istiyorsunuz?""}}"
cuma saat 3 alarm kur,set_alarm,"{""date"": ""friday"", ""label"": ""spor"", ""time"": ""15:00""}",set_alarm,"{""date"": ""friday"", ""label"": null, ""time"": ""15:00""}",True,"{""name"":""set_alarm"",""arguments"":{""time"":""15:00"",""date"":""friday"",""label"":null}}"
Mesaj çek,ask_clarification,"{""missing_field"": ""recipient_and_message"", ""question"": ""Kime ve ne mesaj göndermemi istiyorsunuz?""}",ask_clarification,"{""missing_field"": ""recipient_and_message"", ""question"": ""Mesajı kime ve ne olarak göndermemi istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""recipient_and_message"",""question"":""Mesajı kime ve ne olarak göndermemi istiyorsunuz?""}}"
Rehberi tamamen sil,request_confirmation,"{""action"": ""rehberi sil"", ""question"": ""Rehberinizdeki tüm kişiler kalıcı olarak silinecektir. Bu işlemi onaylıyor musunuz?""}",,,False,"{""name"":""request_confirmation"",""arguments"":{""action"":""rehberi sil"",""question"":""Rehberiniz tamamen silinecek ve sizi geri almayan hesabaya göre aldınız mı? (Evet, kurtarılamaz mı?""""}}"
Ekran parlaklığı ayarla,ask_clarification,"{""missing_field"": ""value"", ""question"": ""Ekran parlaklığı hangi seviyede olsun?""}",ask_clarification,"{""missing_field"": ""value"", ""question"": ""Ekran parlaklığını hangi moda ayarlayayım?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""value"",""question"":""Ekran parlaklığını hangi moda ayarlayayım?""}}"
Sabah kaldırır mısın beni,ask_clarification,"{""missing_field"": ""time"", ""question"": ""Sabah saat kaçta kalkmak istersiniz?""}",ask_clarification,"{""missing_field"": ""time"", ""question"": ""Saat kaçta kaldırmamı istersiniz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""time"",""question"":""Saat kaçta kaldırmamı istersiniz?""}}"
Telefon et,ask_clarification,"{""missing_field"": ""recipient"", ""question"": ""Kimi aramamı istiyorsunuz?""}",ask_clarification,"{""missing_field"": ""recipient"", ""question"": ""Kimi aramak istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""recipient"",""question"":""Kimi aramak istiyorsunuz?""}}"
